customer,cluster,cluster_label,cluster_profile
7286,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7287,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7288,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7289,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7290,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7291,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7292,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7293,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7294,1,New Parents,"Baby%, Drinks%, Home%"
7295,1,New Parents,"Baby%, Drinks%, Home%"
7297,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7298,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7299,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7300,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7301,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7302,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7303,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7304,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7305,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7306,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7308,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7309,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
